Year,Units,Age,Types of skills,Regions,Value
2016,Percent,Age 15-24 years old,Работа в редакторе электронных таблицах Excel (использование базовых арифметических формул в таблицах),Karagandy,55.1
2017,Percent,Age 15-24 years old,Работа в редакторе электронных таблицах Excel (использование базовых арифметических формул в таблицах),Karagandy,60.7
2018,Percent,Age 15-24 years old,Работа в редакторе электронных таблицах Excel (использование базовых арифметических формул в таблицах),Karagandy,74.9
2015,Percent,Age 15-24 years old,"Connecting and installing new devices (printer, modem, and others)",Karagandy,21.8
2016,Percent,Age 15-24 years old,"Connecting and installing new devices (printer, modem, and others)",Karagandy,22.9
2017,Percent,Age 15-24 years old,"Connecting and installing new devices (printer, modem, and others)",Karagandy,36.1
2018,Percent,Age 15-24 years old,"Connecting and installing new devices (printer, modem, and others)",Karagandy,35.7
2015,Percent,Age 15-24 years old,"Поиск, загрузка и установка программного обеспечения",Karagandy,18.8
2016,Percent,Age 15-24 years old,"Поиск, загрузка и установка программного обеспечения",Karagandy,22.9
2017,Percent,Age 15-24 years old,"Поиск, загрузка и установка программного обеспечения",Karagandy,36.1
2018,Percent,Age 15-24 years old,"Поиск, загрузка и установка программного обеспечения",Karagandy,35.7
2015,Percent,Age 15-24 years old,"Работа в графическом редакторе (включая презентации, текст, изображения,  звук, видео или диаграммы)",Karagandy,27.5
2016,Percent,Age 15-24 years old,"Работа в графическом редакторе (включая презентации, текст, изображения,  звук, видео или диаграммы)",Karagandy,35.1
2017,Percent,Age 15-24 years old,"Работа в графическом редакторе (включая презентации, текст, изображения,  звук, видео или диаграммы)",Karagandy,50.5
2018,Percent,Age 15-24 years old,"Работа в графическом редакторе (включая презентации, текст, изображения,  звук, видео или диаграммы)",Karagandy,50.5
2015,Percent,Age 15-24 years old,Transferring files between computers and other devices,Karagandy,31.5
2016,Percent,Age 15-24 years old,Transferring files between computers and other devices,Karagandy,36.6
2017,Percent,Age 15-24 years old,Transferring files between computers and other devices,Karagandy,41.8
2018,Percent,Age 15-24 years old,Transferring files between computers and other devices,Karagandy,46.9
2015,Percent,Age 15-24 years old,Development of computer programs using a special software language,Karagandy,2.6
2016,Percent,Age 15-24 years old,Development of computer programs using a special software language,Karagandy,5.7
2017,Percent,Age 15-24 years old,Development of computer programs using a special software language,Karagandy,10.9
2018,Percent,Age 15-24 years old,Development of computer programs using a special software language,Karagandy,12.9
2015,Percent,Age 15-24 years old,Copying or transferring a file or folder,Kostanay,16.1
2016,Percent,Age 15-24 years old,Copying or transferring a file or folder,Kostanay,46.5
2017,Percent,Age 15-24 years old,Copying or transferring a file or folder,Kostanay,51.8
2018,Percent,Age 15-24 years old,Copying or transferring a file or folder,Kostanay,52.6
2015,Percent,Age 15-24 years old,Using the copy and paste tools for information or part of information to get copies or move information in a document,Kostanay,25.9
2016,Percent,Age 15-24 years old,Using the copy and paste tools for information or part of information to get copies or move information in a document,Kostanay,29.7
2017,Percent,Age 15-24 years old,Using the copy and paste tools for information or part of information to get copies or move information in a document,Kostanay,36.0
